,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
176,11,xx82875,00   0,01  55,02  55,03  54,04  55,05  54,06  56,07  56
177,11,xx82905,00   0,01  54,02  54,03  55,04  54,05  54,06  54,07  56
178,11,xx82934,00   0,01  54,02  55,03  54,04  54,05  54,06  55,07  54
179,11,xx82963,00   0,01  56,02  53,03  53,04  54,05  54,06  54,07  53
180,11,xx82993,00   0,01  54,02  55,03  53,04  54,05  54,06  54,07  56
181,11,xx83022,00   0,01  55,02  54,03  55,04  55,05  55,06  54,07  56
182,11,xx83051,00   0,01  55,02  53,03  54,04  55,05  53,06  55,07  54
183,11,xx83081,00   0,01  55,02  55,03  55,04  54,05  53,06  54,07  54
184,11,xx83110,00   0,01  54,02  53,03  55,04  55,05  55,06  54,07  55
185,11,xx83139,00   0,01  55,02  55,03  54,04  55,05  54,06  54,07  55
186,11,xx83168,00   0,01  54,02  54,03  54,04  55,05  54,06  54,07  55
187,11,xx83198,00   0,01  53,02  56,03  54,04  55,05  55,06  54,07  55
188,11,xx83227,00   0,01  54,02  54,03  56,04  55,05  53,06  55,07  54
189,11,xx83256,00   0,01  56,02  55,03  54,04  53,05  54,06  55,07  55
190,11,xx83286,00   0,01  56,02  54,03  53,04  56,05  54,06  54,07  55
191,11,xx83315,00   0,01  55,02  56,03  55,04  56,05  55,06  56,07  54
192,11,xx83344,00   0,01  54,02  54,03  55,04  54,05  53,06  54,07  54
193,11,xx83374,00   0,01  54,02  56,03  56,04  54,05  55,06  56,07  56
194,11,xx83403,00   0,01  56,02  55,03  55,04  54,05  55,06  54,07  55
195,11,xx83432,00   0,01  55,02  54,03  54,04  54,05  54,06  54,07  55
196,11,xx83461,00   0,01  54,02  54,03  54,04  55,05  54,06  53,07  54
197,11,xx83491,00   0,01  54,02  53,03  54,04  55,05  54,06  54,07  54
198,11,xx83520,00   0,01  54,02  55,03  54,04  55,05  55,06  55,07  53
199,11,xx83549,00   0,01  53,02  55,03  55,04  54,05  55,06  54,07  55
200,11,xx83579,00   0,01  55,02  55,03  55,04  54,05  54,06  56,07  54
201,11,xx83608,00   0,01  53,02  54,03  54,04  52,05  53,06  55,07  54
202,11,xx83637,00   0,01  54,02  56,03  55,04  53,05  55,06  54,07  54
203,11,xx83666,00   0,01  54,02  53,03  55,04  55,05  54,06  54,07  55
204,11,xx83696,00   0,01  54,02  54,03  54,04  55,05  54,06  55,07  55
205,11,xx83725,00   0,01  57,02  55,03  53,04  55,05  54,06  55,07  55
206,11,xx83754,00   0,01  55,02  55,03  55,04  53,05  54,06  54,07  55
207,11,xx83784,00   0,01  55,02  54,03  54,04  55,05  55,06  54,07  54
208,11,xx83813,00   0,01  54,02  56,03  56,04  54,05  54,06  55,07  55
209,11,xx83842,00   0,01  54,02  54,03  54,04  55,05  54,06  53,07  54
210,11,xx83872,00   0,01  55,02  55,03  55,04  56,05  54,06  56,07  55
211,11,xx83901,00   0,01  54,02  55,03  55,04  54,05  54,06  54,07  54
212,11,xx83930,00   0,01  53,02  54,03  56,04  54,05  55,06  54,07  54
213,11,xx83959,00   0,01  54,02  54,03  55,04  55,05  53,06  54,07  54
214,11,xx83989,00   0,01  53,02  54,03  54,04  54,05  54,06  54,07  55
215,11,xx84018,00   0,01  55,02  53,03  55,04  54,05  55,06  54,07  55
216,11,xx84047,00   0,01  54,02  55,03  55,04  55,05  53,06  54,07  54
217,11,xx84077,00   0,01  54,02  56,03  54,04  56,05  52,06  55,07  55
218,11,xx84106,00   0,01  54,02  56,03  54,04  55,05  53,06  55,07  55
219,11,xx84135,00   0,01  55,02  54,03  54,04  54,05  54,06  52,07  55
220,11,xx84165,00   0,01  54,02  56,03  54,04  54,05  50,06  55,07  54
221,11,xx84194,00   0,01  55,02  53,03  54,04  53,05  54,06  54,07  53
222,11,xx84223,00   0,01  54,02  54,03  56,04  53,05  54,06  54,07  53
223,11,xx84252,00   0,01  55,02  54,03  55,04  55,05  53,06  56,07  54
224,11,xx84282,00   0,01  55,02  55,03  54,04  54,05  54,06  55,07  55
225,11,xx84311,00   0,01  54,02  55,03  56,04  55,05  53,06  55,07  53
226,11,xx84340,00   0,01  55,02  54,03  54,04  56,05  54,06  54,07  56
227,11,xx84370,00   0,01  53,02  56,03  54,04  54,05  55,06  55,07  54
228,11,xx84399,00   0,01  53,02  54,03  54,04  54,05  54,06  59,07  55
229,11,xx84428,00   0,01  54,02  53,03  54,04  55,05  54,06  55,07  54
230,11,xx84458,00   0,01  54,02  55,03  55,04  55,05  54,06  56,07  55
231,11,xx84487,00   0,01  54,02  53,03  56,04  56,05  54,06  54,07  55
232,11,xx84516,00   0,01  55,02  55,03  55,04  56,05  54,06  54,07  54
233,11,xx84545,00   0,01  55,02  54,03  55,04  56,05  53,06  54,07  54
234,11,xx84575,00   0,01  55,02  56,03  54,04  55,05  55,06  54,07  55
235,11,xx84604,00   0,01  54,02  55,03  53,04  56,05  54,06  56,07  55
236,11,xx84633,00   0,01  55,02  54,03  56,04  56,05  55,06  54,07  55
237,11,xx84663,00   0,01  55,02  54,03  54,04  55,05  55,06  54,07  55
238,11,xx84692,00   0,01  55,02  55,03  55,04  52,05  54,06  54,07  52
239,11,xx84721,00   0,01  55,02  55,03  54,04  54,05  53,06  55,07  54
240,11,xx84750,00   0,01  55,02  54,03  54,04  54,05  53,06  56,07  54
241,11,xx84780,00   0,01  55,02  56,03  55,04  55,05  53,06  52,07  54
242,11,xx84809,00   0,01  55,02  54,03  56,04  55,05  54,06  54,07  53
243,11,xx84838,00   0,01  55,02  55,03  54,04  55,05  54,06  53,07  54
244,11,xx84868,00   0,01  55,02  56,03  56,04  54,05  53,06  53,07  54
245,11,xx84897,00   0,01  55,02  54,03  56,04  53,05  56,06  56,07  54
246,11,xx84926,00   0,01  55,02  55,03  54,04  55,05  53,06  54,07  53
247,11,xx84956,00   0,01  55,02  54,03  54,04  55,05  55,06  55,07  56
248,11,xx84985,00   0,01  53,02  55,03  57,04  53,05  55,06  55,07  54
249,11,xx85014,00   0,01  54,02  56,03  57,04  54,05  53,06  54,07  54
250,11,xx85043,00   0,01  55,02  55,03  54,04  54,05  54,06  55,07  56
251,11,xx85073,00   0,01  54,02  54,03  55,04  55,05  55,06  55,07  55
252,11,xx85102,00   0,01  54,02  54,03  53,04  54,05  54,06  55,07  54
253,11,xx85131,00   0,01  56,02  55,03  54,04  54,05  54,06  55,07  54
254,11,xx85161,00   0,01  54,02  56,03  55,04  54,05  54,06  54,07  56
255,11,xx85190,00   0,01  55,02  55,03  54,04  53,05  54,06  54,07  54
256,11,xx85219,00   0,01  54,02  55,03  56,04  54,05  55,06  54,07  53
257,11,xx85249,00   0,01  55,02  55,03  54,04  56,05  55,06  53,07  55
258,11,xx85278,00   0,01  55,02  55,03  54,04  54,05  54,06  54,07  55
259,11,xx85307,00   0,01  54,02  54,03  54,04  53,05  54,06  53,07  56
260,11,xx85336,00   0,01  55,02  55,03  55,04  54,05  54,06  54,07  55
261,11,xx85366,00   0,01  55,02  53,03  54,04  54,05  54,06  53,07  56
262,11,xx85395,00   0,01  55,02  55,03  55,04  55,05  54,06  56,07  53
263,11,xx85424,00   0,01  54,02  55,03  53,04  55,05  54,06  54,07  54
264,11,xx85454,00   0,01  55,02  56,03  54,04  54,05  53,06  55,07  53
265,11,xx85483,00   0,01  55,02  54,03  55,04  54,05  54,06  54,07  55
266,11,xx85512,00   0,01  54,02  55,03  54,04  54,05  53,06  56,07  55
267,11,xx85541,00   0,01  55,02  55,03  54,04  54,05  54,06  54,07  55
268,11,xx85571,00   0,01  55,02  54,03  55,04  55,05  55,06  53,07  54
269,11,xx85600,00   0,01  54,02  55,03  54,04  56,05  55,06  54,07  54
270,11,xx85629,00   0,01  55,02  55,03  54,04  56,05  53,06  54,07  55
271,11,xx85659,00   0,01  54,02  54,03  54,04  55,05  56,06  54,07  54
272,11,xx85688,00   0,01  55,02  55,03  56,04  55,05  53,06  54,07  53
