,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
192,11,xx118026,00   0,01  57,02  74,03  58,04  56,05  54,06  91,07  54
193,11,xx118055,00   0,01  57,02  77,03  57,04  55,05  56,06  94,07  53
194,11,xx118084,00   0,01  57,02  81,03  55,04  56,05  54,06  99,07  54
195,11,xx118114,00   0,01  56,02  82,03  57,04  55,05  56,06 102,07  54
196,11,xx118143,00   0,01  56,02  80,03  56,04  57,05  54,06 101,07  55
197,11,xx118172,00   0,01  57,02  82,03  56,04  56,05  55,06  97,07  56
198,11,xx118202,00   0,01  56,02  78,03  55,04  58,05  55,06  89,07  56
199,11,xx118231,00   0,01  55,02  68,03  55,04  55,05  55,06  77,07  56
200,11,xx118260,00   0,01  56,02  59,03  56,04  56,05  55,06  65,07  56
201,11,xx118290,00   0,01  54,02  59,03  55,04  56,05  53,06  60,07  55
202,11,xx118319,00   0,01  56,02  57,03  56,04  57,05  56,06  58,07  54
203,11,xx118348,00   0,01  54,02  57,03  55,04  57,05  53,06  55,07  53
204,11,xx118377,00   0,01  54,02  53,03  54,04  55,05  55,06  56,07  55
205,11,xx118407,00   0,01  54,02  55,03  57,04  55,05  54,06  56,07  53
206,11,xx118436,00   0,01  54,02  54,03  56,04  54,05  54,06  54,07  54
207,11,xx118465,00   0,01  53,02  54,03  55,04  54,05  55,06  56,07  53
208,11,xx118495,00   0,01  57,02  55,03  54,04  56,05  54,06  55,07  54
209,11,xx118524,00   0,01  55,02  54,03  55,04  57,05  54,06  55,07  53
210,11,xx118553,00   0,01  55,02  55,03  54,04  56,05  55,06  56,07  55
211,11,xx118583,00   0,01  56,02  55,03  56,04  56,05  53,06  56,07  54
212,11,xx118612,00   0,01  55,02  55,03  54,04  56,05  54,06  55,07  53
213,11,xx118641,00   0,01  55,02  53,03  56,04  55,05  53,06  56,07  55
214,11,xx118670,00   0,01  56,02  56,03  57,04  55,05  54,06  54,07  55
215,11,xx118700,00   0,01  55,02  54,03  55,04  55,05  56,06  56,07  56
216,11,xx118729,00   0,01  57,02  53,03  58,04  67,05  51,06  54,07  53
217,11,xx118758,00   0,01  55,02  55,03  64,04  76,05  55,06  56,07  53
218,11,xx118788,00   0,01  55,02  55,03  66,04  78,05  55,06  56,07  54
219,11,xx118817,00   0,01  58,02  56,03  70,04  72,05  57,06  55,07  53
220,11,xx118846,00   0,01  59,02  59,03  67,04  71,05  58,06  61,07  55
221,11,xx118875,00   0,01  61,02  61,03  68,04  66,05  58,06  66,07  54
222,11,xx118905,00   0,01  64,02  64,03  68,04  64,05  59,06  72,07  54
223,11,xx118934,00   0,01  64,02  63,03  67,04  62,05  58,06  74,07  55
224,11,xx118963,00   0,01  65,02  63,03  63,04  61,05  59,06  75,07  56
225,11,xx118993,00   0,01  64,02  65,03  62,04  60,05  57,06  78,07  55
226,11,xx119022,00   0,01  62,02  66,03  59,04  57,05  55,06  77,07  54
227,11,xx119051,00   0,01  61,02  68,03  58,04  58,05  55,06  81,07  55
228,11,xx119081,00   0,01  60,02  68,03  57,04  57,05  54,06  82,07  55
229,11,xx119110,00   0,01  59,02  71,03  58,04  55,05  54,06  83,07  55
230,11,xx119139,00   0,01  58,02  72,03  58,04  55,05  55,06  84,07  54
231,11,xx119168,00   0,01  59,02  74,03  56,04  56,05  54,06  88,07  55
232,11,xx119198,00   0,01  57,02  75,03  59,04  58,05  53,06  91,07  54
233,11,xx119227,00   0,01  55,02  77,03  58,04  57,05  54,06  94,07  56
234,11,xx119256,00   0,01  57,02  78,03  55,04  55,05  54,06  95,07  54
235,11,xx119286,00   0,01  56,02  77,03  55,04  56,05  53,06  97,07  55
236,11,xx119315,00   0,01  55,02  71,03  56,04  55,05  54,06  93,07  55
237,11,xx119344,00   0,01  55,02  66,03  56,04  57,05  55,06  86,07  54
238,11,xx119374,00   0,01  55,02  59,03  55,04  55,05  54,06  75,07  54
239,11,xx119403,00   0,01  55,02  59,03  56,04  56,05  54,06  65,07  53
240,11,xx119432,00   0,01  54,02  57,03  55,04  55,05  54,06  59,07  53
241,11,xx119461,00   0,01  54,02  56,03  56,04  55,05  54,06  58,07  56
242,11,xx119491,00   0,01  54,02  55,03  55,04  55,05  55,06  58,07  56
243,11,xx119520,00   0,01  54,02  56,03  56,04  56,05  54,06  57,07  53
244,11,xx119549,00   0,01  55,02  53,03  55,04  56,05  55,06  56,07  53
245,11,xx119579,00   0,01  53,02  56,03  55,04  56,05  53,06  55,07  55
246,11,xx119608,00   0,01  55,02  56,03  55,04  55,05  53,06  54,07  55
247,11,xx119637,00   0,01  53,02  54,03  55,04  56,05  55,06  57,07  56
248,11,xx119666,00   0,01  54,02  55,03  55,04  56,05  55,06  54,07  53
249,11,xx119696,00   0,01  56,02  54,03  55,04  55,05  55,06  54,07  52
250,11,xx119725,00   0,01  53,02  54,03  55,04  57,05  55,06  56,07  53
251,11,xx119754,00   0,01  53,02  58,03  55,04  56,05  54,06  55,07  52
252,11,xx119784,00   0,01  55,02  56,03  55,04  55,05  54,06  56,07  57
253,11,xx119813,00   0,01  54,02  54,03  55,04  56,05  54,06  55,07  54
254,11,xx119842,00   0,01  54,02  53,03  55,04  55,05  53,06  58,07  55
255,11,xx119872,00   0,01  55,02  54,03  56,04  57,05  53,06  56,07  54
256,11,xx119901,00   0,01  55,02  54,03  58,04  68,05  54,06  55,07  54
257,11,xx119930,00   0,01  55,02  54,03  60,04  79,05  54,06  57,07  56
258,11,xx119959,00   0,01  55,02  55,03  69,04  85,05  56,06  56,07  56
259,11,xx119989,00   0,01  58,02  54,03  72,04  83,05  58,06  53,07  54
260,11,xx120018,00   0,01  60,02  56,03  76,04  82,05  58,06  59,07  53
261,11,xx120047,00   0,01  62,02  59,03  75,04  77,05  59,06  60,07  56
262,11,xx120077,00   0,01  64,02  60,03  74,04  73,05  59,06  64,07  55
263,11,xx120106,00   0,01  64,02  59,03  70,04  66,05  58,06  65,07  56
264,11,xx120135,00   0,01  66,02  63,03  67,04  66,05  59,06  68,07  55
265,11,xx120165,00   0,01  68,02  63,03  63,04  60,05  57,06  68,07  55
266,11,xx120194,00   0,01  67,02  66,03  62,04  59,05  56,06  68,07  55
267,11,xx120223,00   0,01  67,02  62,03  60,04  58,05  55,06  69,07  53
268,11,xx120252,00   0,01  65,02  64,03  58,04  58,05  54,06  67,07  54
269,11,xx120282,00   0,01  66,02  69,03  57,04  57,05  54,06  72,07  54
270,11,xx120311,00   0,01  65,02  70,03  58,04  55,05  54,06  72,07  56
271,11,xx120340,00   0,01  68,02  77,03  58,04  56,05  56,06  79,07  54
272,11,xx120370,00   0,01  65,02  82,03  57,04  55,05  53,06  83,07  55
273,11,xx120399,00   0,01  61,02  88,03  55,04  58,05  55,06  87,07  55
274,11,xx120428,00   0,01  60,02  92,03  57,04  55,05  53,06  88,07  55
275,11,xx120458,00   0,01  58,02  88,03  57,04  56,05  56,06  85,07  54
276,11,xx120487,00   0,01  58,02  83,03  55,04  56,05  53,06  72,07  55
277,11,xx120516,00   0,01  56,02  65,03  55,04  55,05  53,06  66,07  56
278,11,xx120545,00   0,01  56,02  57,03  56,04  56,05  55,06  59,07  56
279,11,xx120575,00   0,01  55,02  56,03  55,04  56,05  53,06  58,07  56
280,11,xx120604,00   0,01  55,02  58,03  57,04  56,05  54,06  56,07  55
281,11,xx120633,00   0,01  54,02  55,03  55,04  56,05  53,06  53,07  55
282,11,xx120663,00   0,01  56,02  55,03  54,04  55,05  54,06  55,07  55
283,11,xx120692,00   0,01  55,02  55,03  55,04  55,05  54,06  55,07  54
284,11,xx120721,00   0,01  54,02  54,03  57,04  55,05  54,06  58,07  55
285,11,xx120750,00   0,01  55,02  55,03  56,04  55,05  54,06  56,07  54
286,11,xx120780,00   0,01  55,02  56,03  55,04  55,05  55,06  51,07  54
287,11,xx120809,00   0,01  54,02  54,03  55,04  53,05  54,06  54,07  55
288,11,xx120838,00   0,01  55,02  54,03  55,04  56,05  53,06  55,07  55
289,11,xx120868,00   0,01  55,02  57,03  54,04  55,05  54,06  55,07  54
290,11,xx120897,00   0,01  56,02  56,03  56,04  56,05  54,06  53,07  54
291,11,xx120926,00   0,01  56,02  56,03  57,04  55,05  53,06  54,07  54
292,11,xx120956,00   0,01  55,02  56,03  56,04  55,05  53,06  54,07  56
293,11,xx120985,00   0,01  55,02  56,03  56,04  58,05  55,06  56,07  55
294,11,xx121014,00   0,01  56,02  53,03  59,04  74,05  54,06  56,07  54
295,11,xx121043,00   0,01  57,02  53,03  66,04  83,05  53,06  53,07  55
296,11,xx121073,00   0,01  57,02  55,03  71,04  83,05  58,06  56,07  56
297,11,xx121102,00   0,01  59,02  58,03  74,04  79,05  58,06  59,07  53
298,11,xx121131,00   0,01  61,02  61,03  73,04  76,05  60,06  62,07  54
299,11,xx121161,00   0,01  62,02  59,03  72,04  71,05  60,06  67,07  58
300,11,xx121190,00   0,01  63,02  63,03  68,04  66,05  60,06  71,07  54
301,11,xx121219,00   0,01  64,02  64,03  62,04  62,05  59,06  72,07  55
302,11,xx121249,00   0,01  60,02  65,03  59,04  59,05  56,06  73,07  56
303,11,xx121278,00   0,01  61,02  65,03  58,04  58,05  54,06  74,07  55
304,11,xx121307,00   0,01  60,02  66,03  57,04  57,05  56,06  75,07  53
305,11,xx121336,00   0,01  58,02  68,03  56,04  57,05  53,06  75,07  54
306,11,xx121366,00   0,01  57,02  71,03  57,04  58,05  56,06  76,07  53
307,11,xx121395,00   0,01  57,02  71,03  57,04  55,05  54,06  78,07  55
308,11,xx121424,00   0,01  59,02  75,03  57,04  56,05  55,06  84,07  54
309,11,xx121454,00   0,01  57,02  80,03  57,04  55,05  55,06  86,07  56
310,11,xx121483,00   0,01  57,02  81,03  56,04  55,05  55,06  91,07  53
311,11,xx121512,00   0,01  57,02  83,03  56,04  55,05  55,06  90,07  55
312,11,xx121541,00   0,01  57,02  80,03  57,04  56,05  53,06  86,07  54
313,11,xx121571,00   0,01  56,02  72,03  55,04  57,05  54,06  79,07  55
314,11,xx121600,00   0,01  56,02  65,03  56,04  56,05  55,06  69,07  54
315,11,xx121629,00   0,01  53,02  59,03  55,04  55,05  56,06  60,07  55
316,11,xx121659,00   0,01  55,02  55,03  55,04  56,05  54,06  57,07  53
317,11,xx121688,00   0,01  55,02  56,03  57,04  56,05  54,06  55,07  54
318,11,xx121717,00   0,01  55,02  57,03  57,04  55,05  56,06  56,07  55
319,11,xx121747,00   0,01  53,02  55,03  55,04  55,05  54,06  56,07  55
320,11,xx121776,00   0,01  54,02  52,03  56,04  56,05  53,06  55,07  54
321,11,xx121805,00   0,01  56,02  57,03  56,04  56,05  55,06  55,07  55
322,11,xx121834,00   0,01  56,02  56,03  56,04  55,05  54,06  54,07  54
323,11,xx121864,00   0,01  54,02  58,03  56,04  57,05  57,06  56,07  54
324,11,xx121893,00   0,01  54,02  58,03  56,04  55,05  53,06  55,07  55
325,11,xx121922,00   0,01  54,02  53,03  57,04  55,05  55,06  54,07  55
326,11,xx121952,00   0,01  55,02  56,03  55,04  56,05  54,06  54,07  54
327,11,xx121981,00   0,01  53,02  56,03  55,04  53,05  55,06  54,07  53
328,11,xx122010,00   0,01  55,02  56,03  56,04  56,05  54,06  53,07  55
329,11,xx122040,00   0,01  56,02  55,03  56,04  55,05  54,06  56,07  55
330,11,xx122069,00   0,01  54,02  54,03  55,04  58,05  53,06  56,07  54
331,11,xx122098,00   0,01  54,02  55,03  56,04  65,05  54,06  58,07  57
332,11,xx122127,00   0,01  55,02  54,03  60,04  80,05  55,06  54,07  54
333,11,xx122157,00   0,01  57,02  55,03  68,04  82,05  55,06  55,07  53
334,11,xx122186,00   0,01  60,02  55,03  72,04  79,05  57,06  54,07  54
335,11,xx122215,00   0,01  61,02  57,03  71,04  74,05  58,06  61,07  53
336,11,xx122245,00   0,01  65,02  61,03  70,04  67,05  62,06  65,07  56
337,11,xx122274,00   0,01  66,02  63,03  68,04  65,05  59,06  70,07  53
