,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
96,11,xx2364165,00   0,01  62,02  58,03  78,04  67,05  76,06  68,07  54
97,11,xx2364194,00   0,01  64,02  57,03  77,04  63,05  80,06  74,07  56
98,11,xx2364223,00   0,01  66,02  56,03  72,04  59,05  85,06  82,07  56
99,11,xx2364252,00   0,01  70,02  57,03  69,04  58,05  89,06  84,07  56
100,11,xx2364282,00   0,01  72,02  55,03  61,04  56,05  89,06  95,07  56
101,11,xx2364311,00   0,01  77,02  55,03  57,04  56,05  91,06 102,07  54
102,11,xx2364340,00   0,01  74,02  55,03  56,04  56,05  89,06 104,07  54
103,11,xx2364370,00   0,01  74,02  55,03  56,04  55,05  82,06 111,07  54
104,11,xx2364399,00   0,01  70,02  53,03  55,04  55,05  75,06 117,07  54
105,11,xx2364428,00   0,01  68,02  55,03  55,04  55,05  70,06 118,07  56
106,11,xx2364458,00   0,01  68,02  55,03  54,04  56,05  64,06 119,07  54
107,11,xx2364487,00   0,01  62,02  53,03  55,04  56,05  60,06 119,07  53
108,11,xx2364516,00   0,01  62,02  57,03  55,04  55,05  58,06 116,07  55
109,11,xx2364545,00   0,01  62,02  55,03  55,04  54,05  60,06  97,07  56
110,11,xx2364575,00   0,01  59,02  54,03  55,04  54,05  58,06  66,07  54
111,11,xx2364604,00   0,01  53,02  54,03  55,04  55,05  57,06  59,07  53
112,11,xx2364633,00   0,01  55,02  55,03  55,04  54,05  56,06  58,07  55
113,11,xx2364663,00   0,01  55,02  55,03  55,04  55,05  54,06  54,07  54
114,11,xx2364692,00   0,01  55,02  54,03  56,04  54,05  56,06  58,07  54
115,11,xx2364721,00   0,01  54,02  53,03  54,04  55,05  55,06  59,07  55
116,11,xx2364750,00   0,01  55,02  55,03  56,04  55,05  56,06  54,07  55
117,11,xx2364780,00   0,01  56,02  53,03  53,04  55,05  56,06  56,07  55
118,11,xx2364809,00   0,01  56,02  55,03  53,04  55,05  54,06  54,07  54
119,11,xx2364838,00   0,01  54,02  55,03  54,04  54,05  54,06  57,07  56
120,11,xx2364868,00   0,01  56,02  55,03  56,04  55,05  54,06  57,07  55
121,11,xx2364897,00   0,01  54,02  54,03  54,04  55,05  55,06  54,07  55
122,11,xx2364926,00   0,01  55,02  55,03  56,04  56,05  54,06  56,07  55
123,11,xx2364956,00   0,01  56,02  55,03  56,04  57,05  53,06  56,07  55
124,11,xx2364985,00   0,01  58,02  55,03  54,04  56,05  55,06  54,07  54
125,11,xx2365014,00   0,01  59,02  54,03  53,04  56,05  56,06  56,07  55
126,11,xx2365043,00   0,01  59,02  54,03  54,04  54,05  54,06  56,07  53
127,11,xx2365073,00   0,01  58,02  55,03  53,04  54,05  54,06  56,07  57
128,11,xx2365102,00   0,01  60,02  54,03  55,04  55,05  55,06  54,07  55
129,11,xx2365131,00   0,01  58,02  55,03  54,04  62,05  54,06  55,07  53
130,11,xx2365161,00   0,01  57,02  54,03  53,04 116,05  55,06  58,07  56
131,11,xx2365190,00   0,01  57,02  54,03  61,04 136,05  58,06  57,07  54
132,11,xx2365219,00   0,01  59,02  56,03  75,04 137,05  57,06  57,07  54
133,11,xx2365249,00   0,01  61,02  57,03  82,04 131,05  61,06  55,07  56
134,11,xx2365278,00   0,01  63,02  59,03  84,04 122,05  62,06  57,07  54
135,11,xx2365307,00   0,01  65,02  59,03  85,04 108,05  61,06  58,07  54
136,11,xx2365336,00   0,01  66,02  59,03  83,04  96,05  62,06  59,07  55
137,11,xx2365366,00   0,01  67,02  59,03  84,04  87,05  65,06  60,07  56
138,11,xx2365395,00   0,01  68,02  59,03  79,04  77,05  66,06  58,07  55
139,11,xx2365424,00   0,01  76,02  59,03  76,04  72,05  69,06  60,07  54
140,11,xx2365454,00   0,01  83,02  60,03  77,04  65,05  72,06  66,07  56
141,11,xx2365483,00   0,01  88,02  61,03  73,04  63,05  77,06  72,07  55
142,11,xx2365512,00   0,01  94,02  58,03  69,04  59,05  79,06  77,07  53
143,11,xx2365541,00   0,01  95,02  57,03  62,04  56,05  81,06  85,07  56
144,11,xx2365571,00   0,01  99,02  56,03  61,04  55,05  80,06  91,07  55
145,11,xx2365600,00   0,01  96,02  55,03  55,04  56,05  76,06  96,07  55
146,11,xx2365629,00   0,01  91,02  55,03  55,04  55,05  74,06  96,07  55
147,11,xx2365659,00   0,01  86,02  54,03  56,04  57,05  68,06 102,07  53
148,11,xx2365688,00   0,01  78,02  56,03  55,04  56,05  63,06 103,07  57
149,11,xx2365717,00   0,01  77,02  55,03  56,04  54,05  58,06 103,07  54
150,11,xx2365747,00   0,01  71,02  54,03  55,04  56,05  57,06 104,07  55
151,11,xx2365776,00   0,01  71,02  54,03  56,04  56,05  55,06  90,07  56
152,11,xx2365805,00   0,01  69,02  55,03  55,04  55,05  55,06  70,07  55
153,11,xx2365834,00   0,01  69,02  55,03  55,04  55,05  55,06  63,07  56
154,11,xx2365864,00   0,01  62,02  56,03  56,04  55,05  54,06  57,07  56
155,11,xx2365893,00   0,01  55,02  53,03  55,04  55,05  53,06  57,07  54
156,11,xx2365922,00   0,01  58,02  54,03  56,04  56,05  54,06  54,07  57
157,11,xx2365952,00   0,01  54,02  54,03  56,04  55,05  54,06  56,07  54
158,11,xx2365981,00   0,01  53,02  54,03  55,04  54,05  54,06  56,07  54
159,11,xx2366010,00   0,01  58,02  55,03  57,04  53,05  53,06  54,07  57
160,11,xx2366040,00   0,01  55,02  54,03  55,04  54,05  54,06  55,07  54
161,11,xx2366069,00   0,01  55,02  55,03  56,04  55,05  55,06  58,07  56
162,11,xx2366098,00   0,01  57,02  56,03  55,04  54,05  55,06  53,07  55
163,11,xx2366127,00   0,01  56,02  54,03  56,04  55,05  55,06  57,07  53
164,11,xx2366157,00   0,01  57,02  54,03  56,04  54,05  54,06  57,07  54
165,11,xx2366186,00   0,01  56,02  55,03  55,04  54,05  53,06  53,07  55
166,11,xx2366215,00   0,01  58,02  55,03  55,04  55,05  55,06  55,07  54
167,11,xx2366245,00   0,01  57,02  54,03  54,04  55,05  55,06  56,07  54
168,11,xx2366274,00   0,01  58,02  55,03  56,04  55,05  54,06  55,07  56
169,11,xx2366303,00   0,01  58,02  55,03  55,04  55,05  54,06  53,07  54
170,11,xx2366333,00   0,01  58,02  55,03  54,04  55,05  55,06  55,07  54
171,11,xx2366362,00   0,01  57,02  55,03  54,04  79,05  55,06  56,07  55
172,11,xx2366391,00   0,01  57,02  56,03  57,04 129,05  55,06  55,07  55
173,11,xx2366420,00   0,01  58,02  55,03  73,04 131,05  57,06  56,07  54
174,11,xx2366450,00   0,01  58,02  55,03  88,04 125,05  62,06  59,07  55
175,11,xx2366479,00   0,01  63,02  57,03  96,04 113,05  65,06  58,07  53
176,11,xx2366508,00   0,01  63,02  59,03  98,04  98,05  69,06  59,07  57
177,11,xx2366538,00   0,01  67,02  58,03  97,04  86,05  71,06  62,07  55
178,11,xx2366567,00   0,01  70,02  59,03  85,04  74,05  75,06  66,07  56
